Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1975.1.540,False,True,459455,Robert Lehman Collection,Drawing,Seated Female Nude,,,,,,Artist|Former Attribution,,Domenico Tintoretto|Jacopo Tintoretto (Jacopo Robusti),"Italian, Venice 1560–1635 Venice|Italian, Venice 1519–1594 Venice",,"Tintoretto, Domenico|Tintoretto, Jacopo (Jacopo Robusti)",Italian|Italian,1560      |1519      ,1635      |1594      ,early 17th century,1600,1635,Black and white chalk on blue paper,7 3/8 x 10 7/8 in.  (18.7 x 27.7 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459455,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.283,False,True,459456,Robert Lehman Collection,Drawing,Fame,,,,,,Artist,,Luca Cambiaso,"Italian, Moneglia 1527–1585 Madrid",(?),"Cambiaso, Luca",Italian,1527      ,1585      ,mid- to late 16th century,1536,1600,"Pen and brown ink, brown wash, over traces of black chalk.",13 1/16 x 9 9/16 in.  (33.2 x 24.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459456,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.287,False,True,459457,Robert Lehman Collection,Drawing,Saint Matthew and the Angel,,,,,,Artist,,Luca Cambiaso,"Italian, Moneglia 1527–1585 Madrid",(?),"Cambiaso, Luca",Italian,1527      ,1585      ,1583–85,1583,1585,"Pen and brown ink, brown wash over traces of brown chalk (?); squared in red chalk",9 7/16 x 6 3/8 in.  (24 x 16.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459457,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.285,False,True,459458,Robert Lehman Collection,Drawing,Madonna and Child with the Young Saint John the Baptist and a Donor,Italian,,,,,Artist,,Workshop of Cambiaso,1527–1585,,"Cambiaso, Workshop of",,1527      ,1585      ,ca. 1560,1557,1563,"Pen and brown ink, brown wash, over graphite underdrawing",8 7/8 x 7 1/2 in.  (22.6 x 19.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459458,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.284,False,True,459459,Robert Lehman Collection,Drawing,Hercules and the Erymanthian Boar,Italian,,,,,Artist,,School of Cambiaso,"Italian, 1527–1585",,"Cambiaso, School of",Italian,1527      ,1585      ,ca. 1550,1547,1553,"Pen and brown ink, over black chalk underdrawing",13 5/16 x 9 1/2 in.  (33.8 x 24.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459459,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.289,False,True,459460,Robert Lehman Collection,Drawing,Venus Blindfolding Cupid,,,,,,Artist|Former Attribution,,School of Cambiaso|Luca Cambiaso,"Italian, 1527–1585|Italian, Moneglia 1527–1585 Madrid",,"Cambiaso, School of|Cambiaso, Luca",Italian|Italian,1527      |1527      ,1585      |1585      ,late 16th century,1571,1600,"Pen and brown ink, brown wash, on tan paper.",12 1/16 x 8 3/8 in.  (30.6 x 21.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459460,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.286,False,True,459461,Robert Lehman Collection,Drawing,The Holy Family with the Young Saint John the Baptist,Italian,,,,,Artist,,School of Cambiaso,"Italian, 1527–1585",,"Cambiaso, School of",Italian,1527      ,1585      ,late 16th century,1571,1600,"Pen and brown ink, grayish brown wash.",10 1/16 x 8 7/16 in.  (25.6 x 21.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459461,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.288,False,True,459462,Robert Lehman Collection,Drawing,The Four Evangelists,,,,,,Artist|Former Attribution,,School of Cambiaso|Luca Cambiaso,"Italian, 1527–1585|Italian, Moneglia 1527–1585 Madrid",,"Cambiaso, School of|Cambiaso, Luca",Italian|Italian,1527      |1527      ,1585      |1585      ,late 16th century,1571,1600,"Pen and brown ink, brown wash over traces of black chalk.",17 1/16 x 11 5/16 in.  (43.4 x 28.7 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459462,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.404,False,True,459463,Robert Lehman Collection,Drawing,"A Young Man in Armor, Facing Right",,,,,,Artist,Attributed to,Arcangelo di Cola da Camerino,"Italian, b. Macerata(?), active 1416–29",,"di Cola da Camerino, Arcangelo",Italian,,,ca. 1425,1420,1430,"Pen and brown ink, brown wash.",6 7/8 x 4 15/16 in.  (17.4 x 12.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459463,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.403,False,True,459464,Robert Lehman Collection,Drawing,"A Young Man in Armor, Facing Front",,,,,,Artist,Attributed to,Arcangelo di Cola da Camerino,"Italian, b. Macerata(?), active 1416–29",,"di Cola da Camerino, Arcangelo",Italian,,,ca. 1425,1420,1430,"Pen and brown ink, brown wash; various markings in black chalk probably by a later hand.",6 13/16 x 5 1/4 in.  (17.3 x 13.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459464,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.562,False,True,459465,Robert Lehman Collection,Drawing,The Last Judgment,"Italian, Gubbio",,,,,Artist,,Circle of Ottaviano Nelli,"Italian, Gubbio ca. 1370 – 1444(?) Gubbio",,"Nelli, Ottaviano, Circle of",,1375      ,1375      ,early 15th century,1400,1435,"Brush and brown ink, brown wash, heightened with white, on greenish blue paper.",11 1/8 x 7 3/8 in.  (28.2 x 18.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459465,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.264,False,True,459466,Robert Lehman Collection,Drawing,Justice,,,,,,Artist,Follower of,Fra Angelico (Guido di Pietro),"Italian, Vicchio di Mugello ca. 1395–1455 Rome",,"Angelico, Fra (Guido di Pietro)",Italian,1395      ,1455      ,ca. 1440,1435,1445,"Pen and brown ink, brush and brown wash (the blade of the sword in pen and darker brown ink)",19.3 x 17 cm. (7 5/8 x 6 3/4 in.),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459466,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.265,False,True,459467,Robert Lehman Collection,Drawing,Group of Draped Figures,,,,,,Artist,Attributed to,Antonello da Messina (Antonello di Giovanni d'Antonio),"Italian, Messina ca. 1430–1479 Messina",,"Messina, Antonello da",,1430      ,1479      ,early 1460s,1460,1465,Tip of the brush (or fine pen?) and brown ink,4 5/16 x 5 7/8 in.  (11 x 14.9 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459467,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.397,False,True,459468,Robert Lehman Collection,Drawing,A Man Seated on a Throne,Italian,,,,,Artist,,Follower of Piero della Francesca,"Italian, San Sepolcro, ca. 1412–1492 San Sepolcro",,"Francesca, Piero della, Follower of",,1415      ,1492      ,second half 15th century,1450,1500,"Pen and brown ink, brush and brown ink, brown wash, heightened with white (partly oxidized), over traces of black chalk.",7 5/8 x 4 3/4 in.  (19.3 x 12 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459468,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.318,False,True,459469,Robert Lehman Collection,Drawing,Saint Francis Before the Bishop,,,,,,Artist,Attributed to,Niccolò Solimani (Niccolò da Verona),"Italian, Mantua act. 1461–93",,"Solimani, Niccolò",,,,ca. 1469,1466,1472,"Pen and light and dark brown ink, brown wash, over traces of black chalk.",9 5/8 x 7 3/16 in.  (24.5 x 18.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459469,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.409,False,True,459470,Robert Lehman Collection,Drawing,A Seated Saint Reading from a Book,,,,,,Former Attribution|Artist,Attributed to,Alesso Baldovinetti|Francesco Botticini (Francesco di Giovanni),"Italian, Florence 1425–1499 Florence|Italian, Florentine, ca. 1446–1497",,"Baldovinetti, Alesso|Botticini, Francesco (Francesco di Giovanni)",Italian,1425      |1446      ,1499      |1497      ,late 15th century,1471,1500,"Brush and brown ink, brown wash, heightened with white (partly oxidized); horizontal lines in black chalk (?); pricked for transfer; outlines reinforced in brown ink, perhaps in the 15th or early 16th century.",10 1/4 x 6 3/8 in.  (26.1 x 16.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459470,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.420,False,True,459471,Robert Lehman Collection,Drawing,Head of a Man in Profile,,,,,,Artist,,Luca Signorelli (Luca d'Egidio di Luca di Ventura),"Italian, Cortona, active by 1470–died 1523 Cortona",,"Signorelli, Luca (Luca d'Egidio di Luca di Ventura)",Italian,1470      ,1523      ,1490s,1490,1499,"Black chalk, pen and brown ink, heightened with white.",11 3/4 x 9 5/8 in.  (29.9 x 24.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459471,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.394,False,True,459472,Robert Lehman Collection,Drawing,Study of the Head of a Youth Gazing Upward,,,,,,Artist,Workshop of,Perugino (Pietro di Cristoforo Vannucci),"Italian, Città della Pieve, active by 1469–died 1523 Fontignano",,Perugino (Pietro di Cristoforo Vannucci),Italian,1469      ,1523      ,late 15th–early 16th century,1471,1525,"Black chalk;  Squared in black chalk; eyes, nose, ears, mouth retouched with pen and brown ink.",8 7/8 x 5 15/16 in.  (22.6 x 15.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459472,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.399,False,True,459473,Robert Lehman Collection,Drawing,Group of Warriors Standing,,,,,,Artist,Circle of,Perugino (Pietro di Cristoforo Vannucci),"Italian, Città della Pieve, active by 1469–died 1523 Fontignano",,Perugino (Pietro di Cristoforo Vannucci),Italian,1469      ,1523      ,late 15th–early 16th century,1471,1535,"Tip of the brush and black ink, black wash, traces of black chalk, heightened with white, on dark brown tinted paper.",9 13/16 x 6 5/16 in.  (24.9 x 16.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459473,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.393,False,True,459474,Robert Lehman Collection,Drawing,Two Studies of a Standing Youth in Quattrocento Clothing (recto); a cardinal's hat on a fragmentary coat of arms with a griffin (the arms of the city of Perugia) (verso),,,,,,Artist,Workshop of,Perugino (Pietro di Cristoforo Vannucci),"Italian, Città della Pieve, active by 1469–died 1523 Fontignano",,Perugino (Pietro di Cristoforo Vannucci),Italian,1469      ,1523      ,ca. 1504,1501,1507,"Metalpoint on pinkish prepared paper; retouched by a later hand in pencil, particularly the figure at the right (recto); black chalk, over dots obtained by the pouncing of a model; partly retouched with brush and brown ink (verso)",8 9/16 x 6 15/16 in.  (21.7 x 17.6 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459474,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.395,False,True,459475,Robert Lehman Collection,Drawing,Five Nude Infants in Various Poses,,,,,,Artist,Circle of,Raphael (Raffaello Sanzio or Santi),"Italian, Urbino 1483–1520 Rome",,Raphael (Raffaello Sanzio or Santi),Italian,1483      ,1520      ,ca. 1500,1497,1503,"Metalpoint, traces of charcoal or black chalk, on  pale pinkish gray prepared paper.",9 3/8 x 7 7/16 in.  (23.8 x 18.9 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459475,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.255,False,True,459476,Robert Lehman Collection,Drawing,"A Kneeling Man in Fifteenth-Century Costume (recto); a small, fragmentary sketch of a recumbant boy, probably by a later hand (verso)",,,,,,Artist,Circle of,Pinturicchio,"Italian, Perugia 1454–1513 Siena",,Pinturicchio,Italian,1454      ,1513      ,ca. 1509,1506,1512,"Metalpoint, heightened with white, reworked with the point of the brush and gray ink, on gray prepared paper.",6 x 4 in.  (15.3 x 10.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459476,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.396,False,True,459477,Robert Lehman Collection,Drawing,Saint Francis Receiving the Stigmata,,,,,,Artist,,Lo Spagna (Giovanni di Pietro),"Italian, Spain (?) ca. 1450–1528 Perugia",,Lo Spagna (Giovanni di Pietro),Italian,1445      ,1528      ,early 16th century,1500,1520,"Point of the brush and brown ink, heightened with white (partly oxidized), traces of black chalk, on paper washed with light brown.",7 3/16 x 5 7/16 in.  (18.2 x 13.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459477,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.280,False,True,459478,Robert Lehman Collection,Drawing,The Last Communion of Saint Jerome,,,,,,Artist,Workshop of,Botticelli (Alessandro di Mariano Filipepi),"Italian, Florence 1444/45–1510 Florence",,Botticelli (Alessandro di Mariano Filipepi),Italian,1444      ,1510      ,ca. 1491–1503(?),1486,1506,"Pen and brown ink, brown wash, traces of black chalk.",6 1/4 x 7 3/4 in.  (15.9 x 19.7 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459478,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.329,False,True,459479,Robert Lehman Collection,Drawing,Head of a Man Wearing a Cap,,,,,,Artist,Circle of,Domenico Ghirlandaio (Domenico Bigordi),"Italian, Florence 1448/49–1494 Florence",,"Ghirlandaio, Domenico (Domenico Bigordi)",Italian,1448      ,1494      ,ca. 1495–1505,1492,1508,"Metalpoint, heightened with brush and white, on reddish orange prepared paper.",11 1/8 x 8 3/16 in.  (28.3 x 20.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459479,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.413,False,True,459480,Robert Lehman Collection,Drawing,Head of a Young Woman,,,,,,Artist,Attributed to,Lorenzo di Credi (Lorenzo d'Andrea d'Oderigo),"Italian, Florence 1456/59–1536 Florence",,Lorenzo di Credi (Lorenzo d'Andrea d'Oderigo),Italian,1456      ,1536      ,late 15th–early 16th century,1479,1537,"Metalpoint, heightened with white, on pink prepared paper; profile retouched in brownish chalk, hair retouched in black chalk, and highlights added to bust, all by a later hand.",Diameter 5 13/16  (14.8 cm.),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459480,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.371,False,True,459481,Robert Lehman Collection,Drawing,"The Madonna Adoring the Child, with an Angel",,,,,,Artist,School of,Lorenzo di Credi (Lorenzo d'Andrea d'Oderigo),"Italian, Florence 1456/59–1536 Florence",,Lorenzo di Credi (Lorenzo d'Andrea d'Oderigo),Italian,1456      ,1536      ,early 16th century,1500,1537,"Pen and brown ink, traces of white, over red chalk underdrawing of the Madonna.",9 1/2 x 7 3/16 in.  (24.2 x 18.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459481,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.370,False,True,459482,Robert Lehman Collection,Drawing,The Virgin and Saint John the Evangelist,,,,,,Artist,Attributed to,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),"Italian, Florence 1466?–1524 Florence",,Raffaellino del Garbo,Italian,1466      ,1524      ,about 1500,1490,1510,"Pen and light and dark brown ink, brush and brown wash, heightened with white, over black chalk underdrawing.",6 15/16 x 5 9/16 in.  (17.7 x 14.2 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459482,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.271,False,True,459483,Robert Lehman Collection,Drawing,Madonna and Child with the Infant Saint John the Baptist and Two Putti (recto); Madonna and Child with the Infant Saint John the Baptist and a Putto (verso),,,,,,Artist,,Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),"Italian, Florence 1473–1517 Florence",,"Bartolomeo, Fra (Bartolomeo di Paolo del Fattorino)",Italian,1473      ,1517      ,1505–6(?),1503,1508,"Pen and brown ink, touches of brown wash, heightened with white (partly oxidized), over traces of black chalk, on tinted paper; partial tracing of figures from the verso (recto); Pen and brown ink over black chalk (verso)",7 3/8 x 6 7/16 in.  (18.7 x 16.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459483,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.253,False,True,459484,Robert Lehman Collection,Drawing,Orpheus,Central Italian,,,,,Artist,Central,Italian,,", early 16th century",Italian,,,,early 16th century,1500,1535,Pen and brown ink,9 3/16 x 6 7/16 in.  (23.4 x 16.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459484,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.272,False,True,459485,Robert Lehman Collection,Drawing,Page from a Sketchbook Depicting a City under Siege and a Scene of Homage(?) (recto); standing figures and a horseman; male and female figures; a battle scene (verso),,,,,,Artist,Follower of,Domenico Beccafumi,"Italian, Cortine in Valdibiana Montaperti 1484–1551 Siena",,"Beccafumi, Domenico",Italian,1484      ,1551      ,1520s,1520,1529,"Pen and brown ink; at the top, traces of a sketch in red chalk (recto); Pen and light brown ink, some of the figures redrawn by the same hand in dark brown ink (verso)",8 9/16 x 5 13/16 in.  (21.8 x 14.7 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459485,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.421,False,True,459486,Robert Lehman Collection,Drawing,Saint Sebastian (recto); sketches of a male head and a standing figure in a short cape; a copy of the figure on the recto (verso),,,,,,Artist,Follower of,Sodoma (Giovanni Antonio Bazzi),"Italian, Vercelli 1477–1549 Siena",,Sodoma (Giovanni Antonio Bazzi),Italian,1477      ,1549      ,early–mid-16th century,1500,1549,"Pen and brown ink, brown wash, over black chalk (recto); pen and brown ink, black chalk (verso)",10 3/8 x 7 1/4 in.  (26.4 x 18.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459486,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.281,False,True,459487,Robert Lehman Collection,Drawing,Two Studies of a Seated Male Nude,,,,,,Artist,Follower of,Jacopo da Pontormo (Jacopo Carucci),"Italian, Pontormo 1494–1556 Florence",,"Pontormo, Jacopo da (Jacopo Carucci)",Italian,1494      ,1556      ,mid-16th century,1536,1570,Black chalk,14 9/16 x 8 in.  (37 x 20.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459487,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.411,False,True,459488,Robert Lehman Collection,Drawing,Portrait of a Young Woman,,,,,,Artist,Attributed to,Pier Francesco Foschi (Pier Francesco Toschi),"Italian, Florence 1502–1567 Florence",,"Foschi, Pier Francesco (Pier Francesco Toschi)",Florence,1502      ,1567      ,1520–39,1520,1539,"Metalpoint, touches of red chalk, on gray prepared paper.",6 15/16 x 5 1/4 in.  (17.6 x 13.3 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459488,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.321,False,True,459489,Robert Lehman Collection,Drawing,Jupiter and Io (recto); sketch of a male figure stabbing himself in the chest (verso),,,,,,Artist,Attributed to,Francesco Salviati (Francesco de' Rossi),"Italian, Florence 1510–1563 Rome",,"Salviati, Francesco (Francesco de' Rossi)",Italian,1510      ,1563      ,mid-16th century,1536,1570,"Pen and brown ink, brush and brown wash, over traces of black chalk; squared in red chalk (recto); pen and gray ink (verso)",9 5/16 x 7 1/16 in.  (23.6 x 17.9 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459489,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.267,False,True,459490,Robert Lehman Collection,Drawing,A Seated Man Declaiming from a Book,,,,,,Artist,School of,Baccio Bandinelli,"Italian, Gaiole in Chianti 1493–1560 Florence",,"Bandinelli, Baccio",Italian,1493      ,1560      ,mid to late 16th century,1540,1599,Pen and brown ink,12 3/16 x 7 5/8 in.  (31 x 19.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459490,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.268,False,True,459491,Robert Lehman Collection,Drawing,Standing Apostle,,,,,,Artist,,Giovanni Bandini (called Giovanni dell'Opera),"Italian, Castello 1540–1599 Florence",,"Bandini, Giovanni",Italian,1540      ,1599      ,mid-16th century,1560,1576,Pen and brown ink,15 x 6 1/8 in.  (38.1 x 15.6 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459491,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.377,False,True,459492,Robert Lehman Collection,Drawing,Studies of the Leg of a Man and a Horse's Head (recto); sketches of the back of a man's left shoulder and a chained (?) figure.,Central Italian,,,,,Artist,,Central Italian,,", second quarter 16th century",Central Italian,,1530      ,1569      ,second quarter 16th century,1525,1550,"Pen and brown ink (the horse's head in a different pen and brown ink), brush and wash in two shades of brown (recto); red chalk and pencil (verso)",13 x 9 5/8 in.  (33 x 24.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459492,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.546,False,True,459493,Robert Lehman Collection,Drawing,Battle of Horsemen and Foot Soldiers,,,,,,Artist,Attributed to,Guglielmo della Porta,"Italian, Porlezza, near Lake Lugano ca. 1500–1577 Rome",,"Porta, Guglielmo della",Italian,1500      ,1577      ,mid-16th century,1536,1570,Pen and dark and light brown ink.,8 1/8 x 12 3/8 in.  (20.7 x 31.5 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459493,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.407,False,True,459494,Robert Lehman Collection,Drawing,Frieze with Male Figures and Two Horses,,,,,,Artist,After,Polidoro da Caravaggio,"Italian, Caravaggio ca. 1499–ca. 1543 Messina",,"Caravaggio, Polidoro da",Italian,1494      ,1548      ,mid-16th century,1536,1570,"Pen and brown ink, brown wash.",7 3/4 x 15 in.  (19.7 x 38.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459494,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.406,False,True,459495,Robert Lehman Collection,Drawing,Frieze with Three Horsemen,,,,,,Artist,After,Polidoro da Caravaggio,"Italian, Caravaggio ca. 1499–ca. 1543 Messina",,"Caravaggio, Polidoro da",Italian,1494      ,1548      ,1530s,1530,1539,"Pen and brown ink, brush and brown and gray wash.",6 7/8 x 10 11/16 in.  (17.4 x 27.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459495,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.334,False,True,459496,Robert Lehman Collection,Drawing,Design for a Grotesque Decoration,,,,,,Artist,,"Luzio Luzzi (also known as Luzio Romano, Luzio da Todi)","Italian, active Rome, documented 1519–1582",,"Luzzi, Luzio, (Luzio Romano, Luzio da Todi)",,1519      ,1582      ,ca. 1543–45,1540,1548,"Pen and brown ink, brown wash.",10 3/4 x 8 13/16 in.  (27.3 x 22.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459496,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.405,False,True,459497,Robert Lehman Collection,Drawing,The Abduction of Helen,,,,,,Artist,,"Giuseppe Salviati (Giuseppe Porta, called Il Salviati)","Italian, Castelnuovo di Garfagnana ca. 1520–ca. 1575 Venice",,"Salviati, Giuseppe (Giuseppe Porta, called Il Salviati)",Italian,1515      ,1580      ,mid-16th century,1536,1570,"Pen and brown ink, brown wash, heightened with white (partly oxidized), over traces of black chalk, on light blue paper.",11 15/16 x 15 1/8 in.  (30.3 x 38.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459497,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
1975.1.552,False,True,459498,Robert Lehman Collection,Drawing,A Swiss Guard,,,,,,Artist,Attributed to,Federico Zuccaro (Zuccari),"Italian, Sant'Angelo in Vado 1540/42–1609 Ancona",,"Zuccaro, Federico",Italian,1540      ,1609      ,late 16th–early 17th century,1571,1635,"Pen and brown ink, brown wash, over extensive black chalk underdrawing; squared in black chalk.",9 1/8 x 5 3/16 in.  (23.2 x 13.1 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459498,4/3/2017 8:00:08 AM,"Metropolitan Museum of Art, New York, NY"
